CAMPUS,PROGRAM,DEGREE,CONCENTRATION,PROGRAM_NAME,CIP_CODE,CIP_2DIGIT_CATEGORY
Kauai Community College,Auto Body Repair & Painting,Certificate of Competence,Corrosion,Auto Body Repair & Painting (Certificate of Competence - Corrosion),470603,MECHANIC AND REPAIR TECHNOLOGIES/TECHNICIANS
University of Hawaii at Manoa,Theatre,Doctor of Philosophy,Hawaiian&Indigenous Perf,Theatre (Doctor of Philosophy - Hawaiian&Indigenous Perf),500501,VISUAL AND PERFORMING ARTS
University of Hawaii at Hilo,Performing Arts,Subject Certificate,Dance Kinesiology,Performing Arts (Subject Certificate - Dance Kinesiology),500901,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Bachelor of Arts,Theatre,Theatre & Dance (Bachelor of Arts - Theatre),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Doctor of Philosophy,Asian Performance,Theatre & Dance (Doctor of Philosophy - Asian Performance),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre & Dance,Doctor of Philosophy,Hawaiian&Indigenous Perf,Theatre & Dance (Doctor of Philosophy - Hawaiian&Indigenous Perf),500512,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Theatre,Bachelor of Arts,,Theatre (Bachelor of Arts),500501,VISUAL AND PERFORMING ARTS
University of Hawaii at Manoa,Communication Sci & Disorders,Master of Science,,Communication Sci & Disorders (Master of Science),510201,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Hilo,Pharmaceutical Sciences,Doctor of Philosophy,,Pharmaceutical Sciences (Doctor of Philosophy),512010,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kapiolani Community College,Medical Assisting,Associate in Science,,Medical Assisting (Associate in Science),510801,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kapiolani Community College,Practical Nursing,Certificate of Achievement,,Practical Nursing (Certificate of Achievement),513901,HEALTH PROFESSIONS AND RELATED PROGRAMS
UH Maui College,Nursing,Certificate of Competence,Therapeutic Activity Aide II,Nursing (Certificate of Competence - Therapeutic Activity Aide II),513801,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Nursing,Bachelor of Science,,Nursing (Bachelor of Science),513801,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Public Health,Doctor of Philosophy,,Public Health (Doctor of Philosophy),512201,HEALTH PROFESSIONS AND RELATED PROGRAMS
University of Hawaii at Manoa,Nursing,Master of Science,,Nursing (Master of Science),513801,HEALTH PROFESSIONS AND RELATED PROGRAMS
Kapiolani Community College,eBusiness,Associate in Science,,eBusiness (Associate in Science),520208,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Business Technology,Associate in Applied Science,,Business Technology (Associate in Applied Science),520401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
UH Maui College,Hospitality and Tourism,Associate in Applied Science,,Hospitality and Tourism (Associate in Applied Science),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business Technology,Academic Subject Certificate,,Business Technology (Academic Subject Certificate),520401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kapiolani Community College,Hospitality and Tourism,Associate in Science,Travel & Tourism Oper Mgmt,Hospitality and Tourism (Associate in Science - Travel & Tourism Oper Mgmt),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Hospitality and Tourism,Certificate of Competence,,Hospitality and Tourism (Certificate of Competence),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Hilo,Finance,Subject Certificate,,Finance (Subject Certificate),520801,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Marketing,Certificate of Competence,Business Essentials,Marketing (Certificate of Competence - Business Essentials),521401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kapiolani Community College,Hospitality and Tourism,Certificate of Competence,Hospitality Operations Mgmt,Hospitality and Tourism (Certificate of Competence - Hospitality Operations Mgmt),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Hospitality and Tourism,Certificate of Competence,,Hospitality and Tourism (Certificate of Competence),520901,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Hilo,Business Administration,Bachelor of Bus Admin,Health Care Management,Business Administration (Bachelor of Bus Admin - Health Care Management),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at West Oahu,Business Administration,Bachelor of Arts,Accounting,Business Administration (Bachelor of Arts - Accounting),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Hawaii Community College,Office Administration & Tech,Associate in Applied Science,,Office Administration & Tech (Associate in Applied Science),520401,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
UH Maui College,Business Administration,Certificate of Competence,Entrepreneurship,Business Administration (Certificate of Competence - Entrepreneurship),520101,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,Travel Industry Management,Bachelor of Science,Hospitality Management,Travel Industry Management (Bachelor of Science - Hospitality Management),520903,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Hilo,Business Administration,Bachelor of Bus Admin,Applied Economics,Business Administration (Bachelor of Bus Admin - Applied Economics),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Business,Certificate of Achievement,Management,Business (Certificate of Achievement - Management),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Kauai Community College,Business,Certificate of Competence,Management Essentials,Business (Certificate of Competence - Management Essentials),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
Leeward Community College,Business,Associate in Science,Hospitality and Tourism,Business (Associate in Science - Hospitality and Tourism),520201,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES"
University of Hawaii at Manoa,History,Special Non-Degree,,History (Special Non-Degree),540101,HISTORY
University of Hawaii at Hilo,History,Bachelor of Arts,Hawaii & the Pacific,History (Bachelor of Arts - Hawaii & the Pacific),540101,HISTORY
UH Maui College,Agriculture,Certificate of Achievement,Nursery Management,Agriculture (Certificate of Achievement - Nursery Management),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Achievement,Hort/Landscape Maintenance,Agriculture (Certificate of Achievement - Hort/Landscape Maintenance),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Animal Sciences,Bachelor of Science,,Animal Sciences (Bachelor of Science),010901,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Tropical Plant & Soil Sciences,Doctor of Philosophy,,Tropical Plant & Soil Sciences (Doctor of Philosophy),011299,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Aquaculture,Agriculture (Bachelor of Science - Aquaculture),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Hilo,Agriculture,Bachelor of Science,Pre-Veterinary Science,Agriculture (Bachelor of Science - Pre-Veterinary Science),010000,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Leeward Community College,Plant Biology and Tropical Ag,Certificate of Competence,Aquaponics Technician,Plant Biology and Tropical Ag (Certificate of Competence - Aquaponics Technician),011101,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Tropical Plant & Soil Sciences,Master of Science,,Tropical Plant & Soil Sciences (Master of Science),011299,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Trop Agriculture & Environment,Bachelor of Science,Envir Urban Horticulture,Trop Agriculture & Environment (Bachelor of Science - Envir Urban Horticulture),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Trop Agriculture & Environment,Bachelor of Science,"Pest, Pathog,&Invasive Species","Trop Agriculture & Environment (Bachelor of Science - Pest, Pathog,&Invasive Species)",010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
UH Maui College,Agriculture,Certificate of Competence,Nursery Production,Agriculture (Certificate of Competence - Nursery Production),010301,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
University of Hawaii at Manoa,Trop Agriculture & Environment,Bachelor of Science,,Trop Agriculture & Environment (Bachelor of Science),010308,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES"
Hawaii Community College,Trop Forest Ecosys & Agrof Mgt,Associate in Science,,Trop Forest Ecosys & Agrof Mgt (Associate in Science),030599,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Global Environmental Science,Bachelor of Science,Risk Management & Insurance,Global Environmental Science (Bachelor of Science - Risk Management & Insurance),030104,NATURAL RESOURCES AND CONSERVATION
Hawaii Community College,Trop Forest Ecosys & Agrof Mgt,Associate in Science,,Trop Forest Ecosys & Agrof Mgt (Associate in Science),030101,NATURAL RESOURCES AND CONSERVATION
University of Hawaii at Manoa,Planning Studies,Graduate Certificate,,Planning Studies (Graduate Certificate),040301,ARCHITECTURE AND RELATED SERVICES
University of Hawaii at Manoa,Architecture,Master of Architecture,,Architecture (Master of Architecture),040902,ARCHITECTURE AND RELATED SERVICES
Hawaii Community College,Hawaiian Studies,Associate in Arts,Hula,Hawaiian Studies (Associate in Arts - Hula),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Honolulu Community College,Hawaiian Studies,Associate in Arts,,Hawaiian Studies (Associate in Arts),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
UH Maui College,Hawaiian Studies,Associate in Arts,,Hawaiian Studies (Associate in Arts),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Windward Community College,Hawaiian Studies,Academic Subject Certificate,Hawaiian Visual Art and Design,Hawaiian Studies (Academic Subject Certificate - Hawaiian Visual Art and Design),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Windward Community College,Hawaiian Studies,Academic Subject Certificate,Moolelo Hawaii (Hist & Trad),Hawaiian Studies (Academic Subject Certificate - Moolelo Hawaii (Hist & Trad)),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Honolulu Community College,Hawaiian Studies,Associate in Arts,Olelo Hawaii (Language),Hawaiian Studies (Associate in Arts - Olelo Hawaii (Language)),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Asian Studies,Special Non-Degree,,Asian Studies (Special Non-Degree),050103,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Leeward Community College,Filipino Studies,Academic Subject Certificate,,Filipino Studies (Academic Subject Certificate),050113,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Bachelor of Arts,Comp. Haw Indig Studies,Hawaiian Studies (Bachelor of Arts - Comp. Haw Indig Studies),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,Hawaiian Studies,Bachelor of Arts,Envisioning the Nation,Hawaiian Studies (Bachelor of Arts - Envisioning the Nation),050202,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,American Studies,Bachelor of Arts,,American Studies (Bachelor of Arts),050102,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
University of Hawaii at Manoa,American Studies,Master of Arts,,American Studies (Master of Arts),050102,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES"
Kapiolani Community College,New Media Arts,Associate in Science,Interface Design,New Media Arts (Associate in Science - Interface Design),100399,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Kapiolani Community College,New Media Arts,Associate in Science,,New Media Arts (Associate in Science),100399,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
UH Maui College,Creative Media,Associate in Science,Digital Graphic Design,Creative Media (Associate in Science - Digital Graphic Design),100304,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES
Hawaii Community College,Information Technology,Associate in Science,,Information Technology (Associate in Science),110103,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Hilo,Computer Science,Subject Certificate,Data Science,Computer Science (Subject Certificate - Data Science),110701,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Manoa,Communication & Info Sciences,Doctor of Philosophy,,Communication & Info Sciences (Doctor of Philosophy),110401,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Associate in Science,Digital Video for the Web,Digital Media Production (Associate in Science - Digital Video for the Web),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Leeward Community College,Digital Media Production,Associate in Science,Digital Photography,Digital Media Production (Associate in Science - Digital Photography),110801,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Honolulu Community College,Comp Security&Network Tech,Certificate of Achievement,Information Security Assurance,Comp Security&Network Tech (Certificate of Achievement - Information Security Assurance),110901,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
Windward Community College,Information SecuritySpecialist,Certificate of Competence,,Information SecuritySpecialist (Certificate of Competence),110101,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
University of Hawaii at Manoa,Computer Science,Master of Computer Science,,Computer Science (Master of Computer Science),110701,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES
UH Maui College,Personal Care Attendant,Certificate of Competence,,Personal Care Attendant (Certificate of Competence),129999,PERSONAL AND CULINARY SERVICES
Hawaii Community College,Culinary Arts,Associate in Applied Science,,Culinary Arts (Associate in Applied Science),120500,PERSONAL AND CULINARY SERVICES
UH Maui College,Culinary Arts,Certificate of Competence,Pantry Cook,Culinary Arts (Certificate of Competence - Pantry Cook),120500,PERSONAL AND CULINARY SERVICES
UH Maui College,Culinary Arts,Certificate of Competence,Pastry Cook,Culinary Arts (Certificate of Competence - Pastry Cook),120500,PERSONAL AND CULINARY SERVICES
